id	name	price	old_price	qty	slug	cat	viscosity	brand
3350	Лукойл GENESIS Universal 5W-30 4л	2490.00	0.00	1	lukoyl-genesis-universal-5w-30-4l	270	5w30	NULL
3348	Лукойл GENESIS Universal 5W-40 4л	2590.00	0.00	1	lukoyl-genesis-universal-5w-40-4l	270	5w40	NULL
378	Лукойл Genesis Universal П/Синт 10w40 4 л.	2190.00	0.00	1	lukoyl-genesis-advanced-10w40-p-sintetika-4-l	270	10w40	Лукойл
3197	Лукойл Super 5w40 (полусинтетика) 4л.	1590.00	0.00	1	lukoyl-super-5w40-polusintetika-4l.	270	5w40	NULL
561	CASTROL 5W-30 MAGNATEC A5 4L	4490.00	0.00	1	castrol-5w-30-magnatec-a5-4l	276	5w30	Castrol
799	CASTROL 5W-30 MAGNATEC AP 4L	4490.00	0.00	1	castrol-5w-30-magnatec-ap-4l-filtr-mann-v-podarok	276	5w30	Castrol
665	Castrol Edge 0W-30 A3/B4 (синтетика) 4 л	4990.00	0.00	1	castrol-edge-0w-30-a3-b4-sintetika-4-l	276	0w30	NULL
3230	Castrol Edge 0W-30 A5/B5 (синтетика) 4 л	4990.00	0.00	1	castrol-edge-0w-30-a5-b5-sintetika-4-l	276	0w30	NULL
497	Castrol Edge 5W-30 LL (синтетика) 4 л	4990.00	0.00	1	castrol-edge-5w-30-ll-sintetika-4-l	276	5w30	Castrol
300	castrol GTX 10w40 (А3/В4), (п/синтетика) 4л.	2390.00	0.00	1	castrol-magnatec-gtx-10w40-a3-v4-p-sintetika-4l.	276	10w40	Castrol
797	Castrol GTX 5W-40 A3/B4 (синтетика) 4L	3490.00	0.00	1	castrol-gtx-5w-40-a3-b4-sintetika-4l	276	5w40	Castrol
3363	Castrol Magnatec 5w30 C3 4L	3990.00	0.00	1	castrol-magnatec-5w30-c3-4l	276	5w30	NULL
3077	Castrol Magnatec 5w40 A3/B4 (Розлив)	750.00	0.00	1	castrol-magnatec-5w40-a3-b4	276	5w40	NULL
296	Castrol Magnatec 5W40 А3/В4, (синтетика) 4л	4290.00	0.00	1	castrol-magnatec-5w40-a3-v4-sintetika-4l	276	5w40	Castrol
3083	NESTE CITY PRO (Розлив) 5w30	690.00	0.00	1	neste-city-pro-5w30	290	5w30	NULL
3082	NESTE CITY PRO C3 5w40  (Розлив)	790.00	0.00	1	neste-city-pro-c3-5w40-rozliv	290	5w40	NULL
356	NESTE CITY PRO C3 5w40 (синтетика) 4л	4290.00	0.00	1	neste-city-pro-5w40-sintetika-4l	290	5w40	Neste
3641	Neste Premium + 5w50 4л	4290.00	0.00	1	neste-premium-5w50-4l	290	5w50	NULL
374	Motul 8100 Eco-nergy 5W30 (синтетика) 4 л	4490.00	0.00	1	motul-8100-eco-nergy-5w30-sintetika-5-l	294	5w30	Motul
1393	Motul 8100 Eco-nergy 5W30 (синтетика) 5 л	5490.00	0.00	1	motul-8100-eco-nergy-5w30-sintetika-5-l-clone	294	5w30	Motul
372	Motul 8100 X-cess 5W40 (синтетика) 5 л	5990.00	0.00	1	motul-8100-x-cess-5w40-sintetika-5-l	294	5w40	Motul
3190	Motul Eco-Lite 5w30 1l (Розлив)	1050.00	1050.00	1	motul-eco-lite-5w30-1l-rozliv	294	5w30	NULL
2226	Motul Eco-Nergy 5w30 1l (Розлив)	1050.00	0.00	1	motul-eco-nergy-5w30-1l-rozliv	294	5w30	NULL
2224	Motul X-Cess 5w40 1l (Розлив)	1100.00	0.00	1	motul-x-clean-fe-5w30-1l-rozliv	294	5w40	NULL
3638	NGN Agate 5w30 (Розлив)	750.00	0.00	1	ngn-agate-5w30-rozliv	295	5w30	NULL
3265	NGN EMERALD 5W-30 4L	5090.00	0.00	1	ngn-emerald-5w-30-4l	295	5w30	NULL
3266	NGN EXCELLENCE DXS 5W-30 4L	4490.00	0.00	1	ngn-excellence-dxs-5w-30-4l	295	5w30	NULL
411	NGN EXTRA 5W-50 (синтетика) 4 л	3890.00	0.00	1	ngn-extra-5w-50-sintetika-4-l	295	5w50	NGN
3263	NGN FUSION 5W-20 4L	3890.00	0.00	1	ngn-fusion-5w-20-4l	295	5w20	NULL
555	NGN FUTURE 0W-20 (синтетика) 4 л	4590.00	0.00	1	ngn-future-0w-20-sintetika-4-l	295	0w20	NGN
387	NGN Gold 5W-40 (синтетика) 4 л	4390.00	0.00	1	ngn-gold-5w-40-sintetika-4-l	295	5w40	NGN
2208	Ngn Gold 5w40 1l (Розлив)	690.00	0.00	1	ngn-gold-5w40-1l-rozliv	295	5w40	NULL
399	NGN MAXI 5W-30 (п/синтетика) 4 л	2950.00	0.00	1	ngn-maxi-5w-30-p-sintetika-4-l	295	5w30	NGN
603	NGN Nord 5w30 (синтетика) 4л	6290.00	0.00	1	ngn-nord-5w30-sintetika-4l	295	5w30	NGN
389	NGN Premium 10W-40 (п/синтетика) 4 л	2890.00	0.00	1	ngn-premium-10w-40-p-sintetika-4-l	295	10w40	NGN
385	NGN Profi 5W-30 (синтетика) 4 л	4190.00	0.00	1	ngn-profi-5w-30-sintetika-4-l	295	5w30	NGN
2206	Ngn profi 5w30 1l (Розлив)	690.00	0.00	1	ngn-profi-5w30-1l-rozliv	295	5w30	NULL
409	NGN SYNERGY 0W-40 (синтетика) 4 л	5190.00	0.00	1	ngn-synergy-0w-40-sintetika-4-l	295	0w40	NGN
777	NGN SYNERGY PLUS 0W-30 (синтетика) 4 л	6390.00	0.00	1	ngn-synergy-plus-0w-30-sintetika-4-l	295	0w30	NGN
3268	NGN SYNT-S 5W-40 4L	3190.00	0.00	1	ngn-synt-s-5w-40-4l	295	5w40	NULL
1734	Масло NGN DIESEL SYN 5W-40 4л	4990.00	0.00	1	maslo-ngn-diesel-syn-5w-40-4l	295	5w40	NULL
1736	Масло NGN FORMULA 10W-60 4л	6590.00	0.00	1	maslo-ngn-formula-10w-60-4l	295	10w60	NULL
769	Масло моторное NGN Agate 5w30 A5/B5, 4L	4990.00	0.00	1	maslo-motornoe-ngn-agate-5w30-a5-b5-4l	295	5w30	NGN
1748	Масло АКПП NGN CVT Fluid 1304 4л	4590.00	0.00	1	maslo-akpp-ngn-cvt-fluid-1304-4l	297	NULL	NULL
1910	Масло в АКПП NGN ATF Dexron VI 4л	4390.00	0.00	1	maslo-akpp-atf-dexron-vi-4l	297	NULL	NULL
401	Масло в АКПП NGN ATF Dexron3 4л	3290.00	0.00	1	maslo-akpp-atf-dexron3-4l	297	NULL	NULL
415	Масло в АКПП NGN ATF Universal 4л	4490.00	0.00	1	maslo-akpp-atf-dexron-universal-4l	297	NULL	NULL
419	Масло МКПП и приводных мостов NGN 75W-90 GL4/5 (синтетика) 4л.	4890.00	0.00	1	maslo-mkpp-i-privodnyh-mostov-ngn-75w-90-gl4-5-sintetika-4l.	297	NULL	NULL
2234	Idemitsu Zepro 5w30 1l (Розлив)	850.00	0.00	1	idemitsu-zepro-5w30-1l-rozliv	301	5w30	NULL
3129	Idemitsu Zepro 5w40 1l (Розлив)	850.00	0.00	1	idemitsu-zepro-5w40-1l-rozliv	301	5w40	NULL
525	IDEMITSU Zepro Eco Medalist 0W-20 (синтетика) 4 л	5490.00	0.00	1	idemitsu-eco-medalist-0w-20-sintetika-4-l	301	0w20	Idemitsu
473	IDEMITSU ZEPRO EURO SPEC 5W-40 (синтетика) 4 л	5990.00	0.00	1	idemitsu-euro-spec-5w-40-sintetika-4-l	301	5w40	Idemitsu
2026	Idemitsu Zepro Racing 5w40 4L	8590.00	0.00	1	idemitsu-zepro-racing-5w40-4l	301	5w40	NULL
